Site,Trans,Meter,PctCover
HDR,1,8,73
HDR,1,9,69
HDR,1,10,72
HDR,1,11,57
HDR,1,12,53
HDR,1,13,62
HDR,1,14,80
HDR,1,15,84
HDR,1,16,76
HDR,1,17,44
HDR,1,18,72
HDR,1,19,76
HDR,1,20,78
HDR,2,1,46
HDR,2,2,40
HDR,2,3,55
HDR,2,4,45
HDR,2,5,36
HDR,2,6,53
HDR,2,7,67
HDR,2,8,68
HDR,2,9,26
HDR,2,10,46
HDR,2,11,57
HDR,2,12,81
HDR,2,13,60
HDR,2,14,64
HDR,2,15,44
HDR,2,16,31
HDR,2,17,47
HDR,2,18,59
HDR,2,19,59
HDR,2,20,72
HDR,3,1,64
HDR,3,2,60
HDR,3,3,64
HDR,3,4,70
HDR,3,5,51
HDR,3,6,51
HDR,3,7,65
HDR,3,8,72
HDR,3,9,72
HDR,3,10,79
HDR,3,11,78
HDR,3,12,83
HDR,3,13,77
HDR,3,14,77
HDR,3,15,67
HDR,3,16,73
HDR,3,17,61
HDR,3,18,79
HDR,3,19,89
HDR,3,20,94
LBR,1,0,25
LBR,1,5,30
LBR,1,10,18
LBR,1,15,14
LBR,1,20,22
LBR,2,0,7
LBR,2,5,11
LBR,2,10,12
LBR,2,15,6
LBR,2,20,15
LBR,3,0,9
LBR,3,5,29
LBR,3,10,10
LBR,3,15,9
LBR,3,20,13
LDR,1,1,51
LDR,1,2,31
LDR,1,3,24
LDR,1,4,8
LDR,1,5,5
LDR,1,6,3
LDR,1,7,3
LDR,1,8,3
LDR,1,9,2
LDR,1,10,2
LDR,1,11,1
LDR,1,12,0
LDR,1,13,0
LDR,1,14,0
LDR,1,15,0
LDR,1,16,0
LDR,1,17,0
LDR,1,18,0
LDR,1,19,0
LDR,1,20,1
LDR,2,1,13
LDR,2,2,16
LDR,2,3,8
LDR,2,4,6
LDR,2,5,8
LDR,2,6,9
LDR,2,7,9
LDR,2,8,7
LDR,2,9,3
LDR,2,10,1
LDR,2,11,1
LDR,2,12,0
LDR,2,13,5
LDR,2,14,7
LDR,2,15,3
LDR,2,16,3
LDR,2,17,1
LDR,2,18,0
LDR,2,19,1
LDR,2,20,5
LDR,3,1,0
LDR,3,2,1
LDR,3,3,2
LDR,3,4,1
LDR,3,5,1
LDR,3,6,1
LDR,3,7,1
LDR,3,8,2
LDR,3,9,2
LDR,3,10,1
LDR,3,11,2
LDR,3,12,2
LDR,3,13,2
LDR,3,14,2
LDR,3,15,2
LDR,3,16,1
LDR,3,17,1
LDR,3,18,3
LDR,3,19,3
LDR,3,20,6
OMB,1,NA,15
OMB,2,NA,3
OMB,3,NA,5
PFB,NA,NA,0
PPB,1,0,66
PPB,1,5,78
PPB,1,10,74
PPB,1,15,82
PPB,1,20,75
PPB,2,0,73
PPB,2,5,79
PPB,2,10,74
PPB,2,15,80
PPB,2,20,77
PPB,3,0,74
PPB,3,5,76
PPB,3,10,77
PPB,3,15,71
PPB,3,20,77
PPYB,1,0,74
PPYB,1,10,84
PPYB,1,20,49
PPYB,2,0,78
PPYB,2,10,72
PPYB,2,20,73
PPYB,3,0,76
PPYB,3,10,68
PPYB,3,20,38
SYB,1,0,12
SYB,1,5,21
SYB,1,10,3
SYB,1,15,30
SYB,1,20,7
SYB,2,0,7
SYB,2,5,16
SYB,2,10,8
SYB,2,15,22
SYB,2,20,10
SYB,3,0,36
SYB,3,5,9
SYB,3,10,8
SYB,3,15,27
SYB,3,20,18
TB1,NA,NA,0
TB2,NA,NA,0
TB3,NA,NA,0
TB4,NA,NA,0
TBC,NA,NA,0
TBC2,NA,NA,0
TBC3,NA,NA,0
TBC4,NA,NA,0
